# Renewables.ninja Solar PV (Point API) - 48.152, 17.109 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Europe/Bratislava, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC, missing in binary flag,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Europe/Bratislava"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""kW/m\u00b2"""," ""irradiance_diffuse"": ""kW/m\u00b2"""," ""temperature"": ""\u00baC"""," ""missing"": ""binary flag""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""48.1516988"""," ""lon"": ""17.1093063"""," ""date_from"": ""2005-01-01"""," ""date_to"": ""2005-12-31"""," ""dataset"": ""sarah"""," ""capacity"": ""1"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": true}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,missing,,,,,,,,,,,,,
1/1/2005 0:00,1/1/2005 1:00,0,0,0,0.752,1,,,,,,,,,,,,,
1/1/2005 1:00,1/1/2005 2:00,0,0,0,0.922,0,,,,,,,,,,,,,
1/1/2005 2:00,1/1/2005 3:00,0,0,0,1.239,0,,,,,,,,,,,,,
1/1/2005 3:00,1/1/2005 4:00,0,0,0,1.265,0,,,,,,,,,,,,,
1/1/2005 4:00,1/1/2005 5:00,0,0,0,1.171,0,,,,,,,,,,,,,
1/1/2005 5:00,1/1/2005 6:00,0,0,0,1.045,0,,,,,,,,,,,,,
1/1/2005 6:00,1/1/2005 7:00,0,0,0,0.603,0,,,,,,,,,,,,,
1/1/2005 7:00,1/1/2005 8:00,0.002,0.003,0.007,1.466,0,,,,,,,,,,,,,
1/1/2005 8:00,1/1/2005 9:00,0.033,0.008,0.042,3.056,0,,,,,,,,,,,,,
1/1/2005 9:00,1/1/2005 10:00,0.044,0,0.061,4.335,0,,,,,,,,,,,,,
1/1/2005 10:00,1/1/2005 11:00,0.033,0,0.05,5.26,0,,,,,,,,,,,,,
1/1/2005 11:00,1/1/2005 12:00,0.026,0,0.042,5.37,0,,,,,,,,,,,,,
1/1/2005 12:00,1/1/2005 13:00,0.034,0,0.051,5.042,0,,,,,,,,,,,,,
1/1/2005 13:00,1/1/2005 14:00,0.035,0,0.052,4.41,0,,,,,,,,,,,,,
1/1/2005 14:00,1/1/2005 15:00,0.023,0.003,0.034,3.589,0,,,,,,,,,,,,,
1/1/2005 15:00,1/1/2005 16:00,0.001,0.001,0.006,2.995,0,,,,,,,,,,,,,
1/1/2005 16:00,1/1/2005 17:00,0,0,0,2.594,0,,,,,,,,,,,,,
1/1/2005 17:00,1/1/2005 18:00,0,0,0,2.054,0,,,,,,,,,,,,,
1/1/2005 18:00,1/1/2005 19:00,0,0,0,1.301,0,,,,,,,,,,,,,
1/1/2005 19:00,1/1/2005 20:00,0,0,0,0.477,0,,,,,,,,,,,,,
1/1/2005 20:00,1/1/2005 21:00,0,0,0,-0.535,0,,,,,,,,,,,,,
1/1/2005 21:00,1/1/2005 22:00,0,0,0,-0.977,0,,,,,,,,,,,,,
1/1/2005 22:00,1/1/2005 23:00,0,0,0,-1.039,0,,,,,,,,,,,,,
1/1/2005 23:00,1/2/2005 0:00,0,0,0,-0.774,0,,,,,,,,,,,,,
1/2/2005 0:00,1/2/2005 1:00,0,0,0,-0.549,1,,,,,,,,,,,,,
1/2/2005 1:00,1/2/2005 2:00,0,0,0,-0.374,0,,,,,,,,,,,,,
1/2/2005 2:00,1/2/2005 3:00,0,0,0,0.396,0,,,,,,,,,,,,,
1/2/2005 3:00,1/2/2005 4:00,0,0,0,1.947,0,,,,,,,,,,,,,
1/2/2005 4:00,1/2/2005 5:00,0,0,0,2.408,0,,,,,,,,,,,,,
1/2/2005 5:00,1/2/2005 6:00,0,0,0,2.46,0,,,,,,,,,,,,,
1/2/2005 6:00,1/2/2005 7:00,0,0,0,2.357,0,,,,,,,,,,,,,
1/2/2005 7:00,1/2/2005 8:00,0,0,0.004,3.607,0,,,,,,,,,,,,,
1/2/2005 8:00,1/2/2005 9:00,0.108,0.078,0.052,4.92,0,,,,,,,,,,,,,
1/2/2005 9:00,1/2/2005 10:00,0.16,0.086,0.098,6.53,0,,,,,,,,,,,,,
1/2/2005 10:00,1/2/2005 11:00,0.422,0.367,0.103,8.403,0,,,,,,,,,,,,,
1/2/2005 11:00,1/2/2005 12:00,0.222,0.129,0.123,9.284,0,,,,,,,,,,,,,
1/2/2005 12:00,1/2/2005 13:00,0.132,0.045,0.112,9.077,0,,,,,,,,,,,,,
1/2/2005 13:00,1/2/2005 14:00,0.041,0,0.059,7.399,0,,,,,,,,,,,,,
1/2/2005 14:00,1/2/2005 15:00,0.005,0,0.015,5.126,0,,,,,,,,,,,,,
1/2/2005 15:00,1/2/2005 16:00,0,0,0.002,3.895,0,,,,,,,,,,,,,
1/2/2005 16:00,1/2/2005 17:00,0,0,0,3.628,0,,,,,,,,,,,,,
1/2/2005 17:00,1/2/2005 18:00,0,0,0,2.954,0,,,,,,,,,,,,,
1/2/2005 18:00,1/2/2005 19:00,0,0,0,2.559,0,,,,,,,,,,,,,
1/2/2005 19:00,1/2/2005 20:00,0,0,0,1.752,0,,,,,,,,,,,,,
1/2/2005 20:00,1/2/2005 21:00,0,0,0,0.913,0,,,,,,,,,,,,,
1/2/2005 21:00,1/2/2005 22:00,0,0,0,0.345,0,,,,,,,,,,,,,
1/2/2005 22:00,1/2/2005 23:00,0,0,0,-0.031,0,,,,,,,,,,,,,
1/2/2005 23:00,1/3/2005 0:00,0,0,0,-0.477,0,,,,,,,,,,,,,
1/3/2005 0:00,1/3/2005 1:00,0,0,0,-0.763,1,,,,,,,,,,,,,
1/3/2005 1:00,1/3/2005 2:00,0,0,0,-0.529,0,,,,,,,,,,,,,
